session,file,sha256,n_rows,n_strikes,first_ts,last_ts,n_settlement_bars,oi_lot,oi_units,source,fetched_on
2023-06-22,2023-06-22_chain.parquet,79b4965d4de8f4697108e2b50dbe38a00562f1a7d761dd51f60019c5ea36beb6,31544,46,2023-06-22 09:15:00+05:30,2023-06-22 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-07-06,2023-07-06_chain.parquet,0437452e6fc9fcab8b1fe2a51d7c99aafeca440787bb5e26f324a8653f5a02b9,32653,47,2023-07-06 09:15:00+05:30,2023-07-06 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-07-13,2023-07-13_chain.parquet,c8a3acad135be27b086ad936f180b3256f80cac169d7321fa69248db00457ce0,31971,46,2023-07-13 09:15:00+05:30,2023-07-13 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-07-20,2023-07-20_chain.parquet,0e12308f82eb1ecb5d431b22d1cf20c6dd5c6626b86b6395ce68f400380c5f7b,32317,48,2023-07-20 09:15:00+05:30,2023-07-20 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-07-27,2023-07-27_chain.parquet,c0cbe1ab954634547315dd32c7fa7388dc991dc18b3a1cb92ffd8d2f401a03ff,34009,47,2023-07-27 09:15:00+05:30,2023-07-27 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-08-03,2023-08-03_chain.parquet,1457a4aea18baa83049582252b0796e7720342fb2801419d52b668c6bbe0df53,33507,47,2023-08-03 09:15:00+05:30,2023-08-03 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-08-10,2023-08-10_chain.parquet,86edf35a5d600050bafb9b286c2836bc7a53d3f4ee885ae9c72f131e070b19bb,32040,47,2023-08-10 09:15:00+05:30,2023-08-10 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-08-17,2023-08-17_chain.parquet,82241616ea3b9dd234d269aa212fe0d561f4e4a314d9f5ab0e73f8f5115131e4,32674,47,2023-08-17 09:15:00+05:30,2023-08-17 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-08-24,2023-08-24_chain.parquet,9c0d87e6f7d2a2040d6c3b8d6a5be027e39532490c6580218c560666fca39781,32017,47,2023-08-24 09:15:00+05:30,2023-08-24 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-08-31,2023-08-31_chain.parquet,5c872fa73bdc3ed0a293d012a098d59132018d61ae1366f6c666f4092c178ca9,33575,47,2023-08-31 09:15:00+05:30,2023-08-31 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-09-07,2023-09-07_chain.parquet,2cc4038809d69e0bfeeb418ac37e3e8ec04863d19b10f16e7b47e0839ad18a36,31492,48,2023-09-07 09:15:00+05:30,2023-09-07 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-09-14,2023-09-14_chain.parquet,cf9cb28c2b6a252c40d505740ca8ef27c1add554e807f708baeb125926ed4c43,33080,48,2023-09-14 09:15:00+05:30,2023-09-14 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-09-21,2023-09-21_chain.parquet,00a49eaacb3063fb4f94bbf3a4301ee04f93272d08d133ae35213d27968ac1f2,33887,48,2023-09-21 09:15:00+05:30,2023-09-21 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-09-28,2023-09-28_chain.parquet,dea2f0ebf269fe2da72f6ca1b6a5a43e1154b3c95249faa625a9cac500b8c1d1,35342,48,2023-09-28 09:15:00+05:30,2023-09-28 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-10-05,2023-10-05_chain.parquet,2fb12d5db5a5b4014619c4d73d7db5551ce61d9a1492f0168f9fdce7753ad8f4,33019,47,2023-10-05 09:15:00+05:30,2023-10-05 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-10-12,2023-10-12_chain.parquet,7a97fb262b14efc5c541d9ca6abdc55d79f46298d5524b9ba9306b66e7adb71d,33032,48,2023-10-12 09:15:00+05:30,2023-10-12 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
